"Cluster","Silo","ID","D0","D3","D5","D7","D9","D11","D13"
29,"3","CHOYP_EIF5A.1.3.m.22684",202.0064,352.3577,380.49725,273.24535,269.13555,363.8985,240.5233
4,"3","CHOYP_ELOC.1.1.m.1299",67.18385,64.71275,61.2479,59.78385,64.92425,68.8311,72.42415
7,"3","CHOYP_ENO.1.2.m.7681",154.4307,168.42915,156.00445,141.5826,161.44515,205.88405,186.4109
4,"3","CHOYP_ERP44.1.1.m.3853",18.38535,24.79335,36.8221,27.6052,37.6238,25.37435,30.91295
2,"3","CHOYP_ES1.1.1.m.66406",36.53625,49.65805,26.89585,41.66555,17.80485,30.2789,31.34675
4,"3","CHOYP_F10A1.4.4.m.44752",31.1347,32.37945,37.3697,0.1,21.4373,40.6135,0.1
4,"3","CHOYP_FABP7.2.2.m.29096",0.1,7.57035,19.0129,32.06865,52.29585,90.14285,46.92605
2,"3","CHOYP_FAF2.1.1.m.54271",38.93245,35.0738,0.1,9.77765,0.1,28.79825,48.3882
2,"3","CHOYP_FAS2.1.1.m.41201",14.7548,15.9981,20.2858,23.8379,26.5434,34.8633,45.7121
4,"3","CHOYP_FLNA.2.6.m.11845",0.98865,0.5269,74.4623,37.8434,2.28805,55.62715,1.03215
30,"3","CHOYP_FLNC.2.5.m.37450",79.8377,81.5414,33.6706,67.2842,95.96065,33.58835,128.7836
4,"3","CHOYP_GAR1.1.2.m.9449",32.73275,31.52725,29.45735,28.5276,31.11275,28.00255,15.50545
31,"3","CHOYP_GBLP.3.7.m.20931",362.2449,428.83955,443.17085,505.38215,497.95185,510.2815,474.48625
5,"3","CHOYP_GELS2.2.2.m.30443",183.0987,189.6847,171.94155,175.9173,166.17095,261.33375,265.40225
6,"3","CHOYP_GST7.1.1.m.59335",123.6369,191.6692,151.0817,85.10795,85.4568,58.64795,60.6882
3,"3","CHOYP_GSTO2.1.1.m.36486",63.76055,65.2838,61.8788,61.07105,53.32385,82.63025,79.37055
3,"3","CHOYP_H3.1.2.m.3829",87.38795,93.5389,103.24755,64.17125,103.4651,37.1642,19.3467
2,"3","CHOYP_HINT1.1.1.m.53526",33.6374,46.871,25.56855,30.40685,23.08455,28.62645,34.7901
3,"3","CHOYP_HN1L.2.2.m.9837",88.4293,98.6807,69.8719,59.23545,45.0957,96.3798,74.16265
7,"3","CHOYP_HSP7D.2.3.m.34782",114.974,126.9403,171.74285,117.95255,168.5778,207.90135,160.4684
3,"3","CHOYP_ISCW_ISCW001592.1.2.m.20852",72.6043,53.80155,59.5672,74.13475,60.94165,62.0628,53.37585
4,"3","CHOYP_ISCW_ISCW005651.1.1.m.49000",39.88225,51.2039,32.3389,40.6951,45.40025,19.19915,38.23345
32,"3","CHOYP_KARG.2.11.m.2196",473.353,410.63725,341.04545,354.04625,363.883,363.81615,476.5744
4,"3","CHOYP_KCY.1.1.m.29973",40.33145,63.6239,48.0216,76.47595,42.04945,78.4603,57.1457
4,"3","CHOYP_KHDR1.1.1.m.8878",39.4483,41.16855,41.39075,25.18955,35.341,32.2164,30.5575
4,"3","CHOYP_KS6A1.1.1.m.38387",27.8949,26.8671,27.03975,30.5203,31.6918,37.1758,26.0745
33,"3","CHOYP_LDLR.6.7.m.57984",75.22025,81.71735,156.55645,204.01965,345.0764,207.1013,136.1998
2,"3","CHOYP_LGR4.1.2.m.27343",25.54765,21.25615,24.82325,30.85305,32.2513,31.64285,41.6273
4,"3","CHOYP_LOC100117365.1.1.m.37817",25.52285,0.1,29.59115,21.18555,52.2402,16.90155,20.31405
4,"3","CHOYP_LOC100161360.1.1.m.65809",32.15335,29.79205,37.18235,36.65915,35.58865,28.29765,18.05965
2,"3","CHOYP_LOC100164363.1.1.m.61731",13.3962,17.7407,27.5882,25.711,32.7146,30.9506,22.214
3,"3","CHOYP_LOC100168945.1.1.m.37004",107.5204,102.4021,104.264,103.41805,107.9278,102.2513,132.8009
4,"3","CHOYP_LOC100175722.1.3.m.11427",63.32875,61.0254,10.0642,0.1,0.1,0.1,0.1
3,"3","CHOYP_LOC100175959.1.7.m.1896",83.3699,70.83475,76.24115,90.79335,65.59305,122.8805,45.56585
55,"3","CHOYP_LOC100175959.4.7.m.28172",230.37915,207.79305,304.21635,290.10765,342.48945,358.2401,338.44985
34,"3","CHOYP_LOC100180023.1.7.m.11060",199.37415,192.19015,239.97475,237.45965,306.9115,314.0089,205.9358
2,"3","CHOYP_LOC100185443.1.1.m.60976",45.41465,39.37215,15.45105,20.8919,9.33475,7.46075,0.1
4,"3","CHOYP_LOC100211409.1.1.m.4742",32.04495,46.3082,46.7362,25.647,16.7977,40.07425,91.15755
4,"3","CHOYP_LOC100366787.1.1.m.65795",92.3365,66.70595,57.59705,63.85865,51.23985,46.7926,35.0115
4,"3","CHOYP_LOC100367051.1.1.m.13013",32.58835,35.1023,33.43325,31.36615,31.59115,29.3198,33.08515
4,"3","CHOYP_LOC100367201.2.2.m.61573",64.7319,58.4454,46.98375,49.3507,58.1887,61.73015,37.5716
4,"3","CHOYP_LOC100369657.2.2.m.45309",0.1,1.0193,38.04445,67.57945,59.8649,37.23715,30.651
2,"3","CHOYP_LOC100369985.1.1.m.35628",35.19155,29.66135,29.52365,17.94315,13.3796,9.58845,0.1
4,"3","CHOYP_LOC100370026.1.1.m.42957",42.2068,42.29815,44.14395,30.82125,24.30445,25.68365,35.87545
4,"3","CHOYP_LOC100370747.1.1.m.28315",51.7362,55.1727,73.4917,75.3613,66.2726,72.48885,83.3397
2,"3","CHOYP_LOC100371099.1.1.m.20282",48.9653,35.414,11.88005,18.73625,12.5838,20.02455,8.1265
4,"3","CHOYP_LOC100371232.1.1.m.25817",24.8953,39.0017,30.1215,31.63275,63.4417,30.4048,33.0629
4,"3","CHOYP_LOC100371236.1.1.m.62865",59.50635,51.819,68.83345,77.11845,75.4137,69.9267,59.273
4,"3","CHOYP_LOC100371677.1.1.m.122",20.81335,25.70605,32.6069,34.35635,40.0919,34.94915,28.3158
4,"3","CHOYP_LOC100372339.1.2.m.5168",28.8726,30.26455,30.4956,26.0395,32.2696,29.6226,29.3226
4,"3","CHOYP_LOC100372505.2.2.m.26614",88.1724,23.9445,2.68945,0.1,0.1,0.1,0.1
2,"3","CHOYP_LOC100372926.1.3.m.29881",26.18605,29.235,33.3435,23.37985,21.239,36.72135,25.61525
4,"3","CHOYP_LOC100373141.1.1.m.11194",27.95055,39.42005,40.68115,40.8132,31.9606,32.6822,25.18185
4,"3","CHOYP_LOC100373353.1.1.m.50175",33.36025,26.38995,34.773,30.45685,31.87965,32.4594,26.8855
4,"3","CHOYP_LOC100373522.5.5.m.54028",41.331,23.74735,47.61715,32.96265,26.7695,21.10235,34.28275
4,"3","CHOYP_LOC100375022.1.1.m.3033",29.67705,32.84625,37.3454,34.7436,40.78675,31.2276,39.39405
4,"3","CHOYP_LOC100376187.2.2.m.55240",82.2571,0.1,14.0699,45.66935,0.1,3.58985,0.1
3,"3","CHOYP_LOC100376457.1.2.m.11537",57.82445,67.2882,63.0757,64.07995,69.154,78.8635,86.34565
2,"3","CHOYP_LOC100376457.2.2.m.51737",16.29175,23.52625,23.6819,27.7064,30.657,32.6128,43.26155
4,"3","CHOYP_LOC100376863.1.1.m.65235",19.51735,22.7298,34.75375,34.85875,32.56765,31.9093,25.9188
4,"3","CHOYP_LOC100376984.1.1.m.15840",27.4497,38.9042,43.8424,32.9568,47.892,28.13055,25.7299
2,"3","CHOYP_LOC100377173.1.2.m.37699",0.1,24.24825,2.3005,11.94965,6.9902,2.58005,9.12045
2,"3","CHOYP_LOC100378099.1.1.m.22677",34.5599,15.4085,10.3379,16.30415,35.26645,81.23875,17.6829
2,"3","CHOYP_LOC100378221.1.1.m.29052",26.65925,24.7353,30.1657,28.21015,32.44605,25.297,23.5958
35,"3","CHOYP_LOC100533294.1.3.m.35108",209.5251,226.3257,204.63215,227.36825,212.37445,219.7757,329.5942
4,"3","CHOYP_LOC100533388.2.6.m.5374",3.63785,13.86265,38.26075,29.36155,36.9752,42.98835,42.98595
3,"3","CHOYP_LOC100533521.2.2.m.52097",84.26195,77.36905,97.33525,106.33325,102.9474,78.7922,154.5444
2,"3","CHOYP_LOC100558815.1.1.m.30536",27.2101,31.48005,28.1081,22.16735,20.44225,25.61295,19.28505
4,"3","CHOYP_LOC100561262.1.1.m.16846",38.2899,38.04285,37.154,41.45935,38.1045,31.31265,36.54635
2,"3","CHOYP_LOC100562697.1.1.m.27375",29.2821,37.58275,33.09215,22.26735,25.00015,37.1834,22.68255
2,"3","CHOYP_LOC100646574.1.1.m.55144",25.74245,24.7917,31.9993,27.9225,32.3563,35.09335,30.95135
4,"3","CHOYP_LOC100689951.1.1.m.56514",21.74765,24.2652,26.6565,31.5081,35.17585,33.57975,25.83345
4,"3","CHOYP_LOC100692418.1.1.m.55158",53.66905,18.6126,27.1689,41.66555,30.82445,28.28715,45.6154
4,"3","CHOYP_LOC100699093.1.1.m.20134",69.26165,64.6397,59.8332,64.1115,59.94365,71.92165,68.93215
37,"3","CHOYP_LOC100699383.1.1.m.63490",151.9164,167.74565,214.8679,187.204,250.16115,441.3681,159.66895
2,"3","CHOYP_LOC100705966.1.1.m.45957",0.1,11.06725,13.32505,11.6818,2.45245,2.5225,3.10505
4,"3","CHOYP_LOC100710670.2.2.m.45011",67.8551,59.07755,55.3003,64.82935,63.09435,78.75975,61.03525
4,"3","CHOYP_LOC100711559.1.1.m.10313",51.11685,46.5218,46.82915,61.03385,49.6907,37.17375,37.7152
4,"3","CHOYP_LOC100727208.1.1.m.9366",74.0683,55.6508,42.11675,60.45025,65.3911,30.5786,74.7245
3,"3","CHOYP_LOC100862999.1.1.m.11759",135.8972,108.06035,75.81055,103.76295,101.24885,122.54865,135.3682
4,"3","CHOYP_LOC100867628.1.1.m.1331",34.6176,34.25855,35.3549,32.3163,20.3122,37.71305,31.06455
2,"3","CHOYP_LOC100888608.1.3.m.5445",4.3445,8.38255,10.5683,11.04045,15.74375,16.61455,8.6555
49,"3","CHOYP_LOC100890099.1.1.m.11505",328.4778,0.1,0.1,0.1,399.37935,0.1,0.1
17,"3","CHOYP_LOC100893889.2.2.m.64935",189.05415,188.45175,132.10545,151.98065,163.32115,155.68725,211.3955
2,"3","CHOYP_LOC100897892.1.1.m.1462",21.41465,23.57455,41.5802,18.73625,15.78265,26.79,8.1265
9,"3","CHOYP_LOC100903522.1.3.m.2296",181.1159,159.1001,242.87365,228.2578,185.9719,243.9528,268.7364
4,"3","CHOYP_LOC101040300.1.2.m.6533",60.7435,55.0928,62.42775,54.6285,62.3906,66.20035,66.40635
28,"3","CHOYP_LOC101072646.1.1.m.8800",109.4635,133.43575,197.0244,180.9229,279.45035,273.36825,153.9401
38,"3","CHOYP_LOC101156984.2.2.m.22956",429.62335,475.48035,390.79095,452.0377,434.48045,450.16025,369.9468
