"ID","Cluster","Silo","D0","D3","D5","D7","D9","D11","D13","Gene.names"
"CHOYP_AAEL_AAEL006988.1.1.m.49733",1,"9",0.1,0.9358,0.1,0.1,0.9703,0.1,1.7628,"taf6"
"CHOYP_AAEL_AAEL006988.1.1.m.49733",1,"3",0.1,0.1,0.1,0.1,0.1,0.1,0.1,"taf6"
"CHOYP_AAEL_AAEL007173.1.1.m.41471",1,"3",42.0481,44.7863,45.8163,0.1,38.9739,78.5785,92.68275,"TPD52L2"
"CHOYP_AAEL_AAEL007173.1.1.m.41471",1,"9",42.0481,0.1,94.7948,0.1,66.4379,31.12235,90.30225,"TPD52L2"
"CHOYP_AAEL_AAEL007437.1.1.m.29443",1,"9",0.1,0.1,0.1,0.1,0.1,0.1,0.1,""
"CHOYP_AAEL_AAEL007437.1.1.m.29443",1,"3",0.1,0.1,0.1,3.95475,4.1274,0.1,0.1,""
"CHOYP_AAEL_AAEL007549.1.1.m.13827",1,"3",0.1,2.8519,0.1,0.1,0.1,0.1,0.1,"Pebp4"
"CHOYP_AAEL_AAEL007549.1.1.m.13827",1,"9",0.1,0.1,0.1,0.1,0.1,0.1,0.1,"Pebp4"
"CHOYP_AAEL_AAEL007787.1.1.m.13188",1,"3",1.7984,0.1,1.74535,1.83505,2.7576,0.1,0.1,"Alas1"
"CHOYP_AAEL_AAEL007787.1.1.m.13188",1,"9",1.7984,2.7419,1.0516,0.1,1.00315,0.1,0.1,"Alas1"
"CHOYP_AAEL_AAEL008069.1.2.m.58164",1,"9",4.753,9.6497,16.76075,14.97325,18.0781,16.7746,30.3878,"Svep1"
"CHOYP_AAEL_AAEL008069.1.2.m.58164",1,"3",4.753,6.40585,12.9091,14.5239,14.6013,7.2671,25.2325,"Svep1"
"CHOYP_AAEL_AAEL008069.2.2.m.60920",1,"9",2.9223,2.973,8.8302,7.6362,13.7541,19.18565,14.1481,"NOTCH1 TAN1"
"CHOYP_AAEL_AAEL008069.2.2.m.60920",1,"3",2.9223,1.9729,3.54785,7.2933,8.37315,13.05235,11.6447,"NOTCH1 TAN1"
"CHOYP_AAEL_AAEL008069.2.2.m.60921",1,"3",0.1,0.1,0.1,0.1,2.9163,0.1,0.1,"None"
"CHOYP_AAEL_AAEL008069.2.2.m.60921",1,"9",0.1,0.1,0.1,3.3591,2.94225,0.1,8.175,"None"
"CHOYP_AAEL_AAEL008257.2.3.m.36861",1,"3",10.5912,13.2585,17.4602,13.0506,13.06505,32.3091,15.46985,"Hrb27C hrp48 Rbp7 CG10377"
"CHOYP_AAEL_AAEL008257.2.3.m.36861",1,"9",10.5912,10.78755,11.66925,7.70645,17.91795,20.9896,11.6318,"Hrb27C hrp48 Rbp7 CG10377"
"CHOYP_AAEL_AAEL009169.1.1.m.24699",1,"9",8.15585,8.2976,5.9538,9.07055,7.90325,6.00685,7.43435,"Esyt2 D12Ertd551e Fam62b"
"CHOYP_AAEL_AAEL009169.1.1.m.24699",1,"3",8.15585,15.71,7.91515,6.96145,9.0475,6.68085,8.1205,"Esyt2 D12Ertd551e Fam62b"
"CHOYP_AAEL_AAEL009187.1.1.m.25730",1,"9",2.98205,1.51695,5.74535,4.51605,1.57655,2.47275,1.52075,"ZSCAN5C ZSCAN5CP"
"CHOYP_AAEL_AAEL009187.1.1.m.25730",1,"3",2.98205,2.15315,2.249,3.04285,3.8448,2.428,2.02745,"ZSCAN5C ZSCAN5CP"
"CHOYP_AAEL_AAEL009387.1.1.m.66163",1,"3",19.06415,28.57865,22.613,20.55395,21.84835,23.1003,23.90395,"Hex-t2 Hex CG32849"
"CHOYP_AAEL_AAEL009387.1.1.m.66163",1,"9",19.06415,26.9411,13.93285,11.55335,26.86575,14.19,33.80395,"Hex-t2 Hex CG32849"
"CHOYP_AAEL_AAEL009414.1.1.m.639",1,"9",52.95085,54.87245,48.4308,34.46145,50.7868,42.13085,44.0139,"Ndufa9"
"CHOYP_AAEL_AAEL009414.1.1.m.639",1,"3",52.95085,47.2263,45.66985,42.99695,58.52135,41.59555,48.1605,"Ndufa9"
"CHOYP_AAEL_AAEL010339.1.1.m.63259",1,"3",5.3136,2.58585,2.63115,0.1,0.1,2.95175,0.1,"Mrpl58 Ict1"
"CHOYP_AAEL_AAEL010339.1.1.m.63259",1,"9",5.3136,5.3764,0.1,3.21795,5.5878,0.1,0.1,"Mrpl58 Ict1"
"CHOYP_AAEL_AAEL010626.1.1.m.52019",1,"3",0.1,0.1,0.1,0.1,0.1,0.1,0.1,"Hcrtr2"
"CHOYP_AAEL_AAEL010626.1.1.m.52019",1,"9",0.1,0.1,0.1,0.1,0.1,1.2397,0.1,"Hcrtr2"
"CHOYP_AAEL_AAEL010939.1.1.m.64870",1,"9",8.9979,0.1,0.1,2.783,1.23265,0.1,0.1,"pdxdc1 zgc:92179"
"CHOYP_AAEL_AAEL010939.1.1.m.64870",1,"3",8.9979,5.4383,0.1,0.1,0.1,2.52885,0.1,"pdxdc1 zgc:92179"
"CHOYP_AAEL_AAEL011273.1.1.m.12717",1,"3",1.06705,1.95495,2.9666,4.1014,1.11045,3.3041,2.69395,"UCKL1 URKL1 F538"
"CHOYP_AAEL_AAEL011273.1.1.m.12717",1,"9",1.06705,3.09935,4.45885,3.69695,3.22075,3.3439,1.07305,"UCKL1 URKL1 F538"
"CHOYP_AAEL_AAEL011391.1.1.m.10090",1,"3",4.15325,2.68575,9.25115,4.15,5.61005,4.5742,9.0592,"MRPS9"
"CHOYP_AAEL_AAEL011391.1.1.m.10090",1,"9",4.15325,5.5442,7.51605,6.63445,2.928,6.0432,2.72155,"MRPS9"
"CHOYP_AAEL_AAEL011527.1.1.m.20909",1,"3",47.11975,46.9462,55.238,63.17415,58.47275,72.6546,53.91595,"Eif2s2"
"CHOYP_AAEL_AAEL011527.1.1.m.20909",1,"9",47.11975,57.81805,71.4428,61.07745,70.3991,46.5826,50.1363,"Eif2s2"
"CHOYP_AAEL_AAEL011814.1.1.m.48797",1,"3",1.9608,0.1,1.97785,1.06935,4.0313,1.13365,0.1,"MRPS30"
"CHOYP_AAEL_AAEL011814.1.1.m.48797",1,"9",1.9608,1.9948,1.11245,2.3779,3.1073,0.1,0.1,"MRPS30"
"CHOYP_AAEL_AAEL011979.1.1.m.59057",1,"9",6.74045,13.57935,21.99875,20.2134,21.1696,14.78045,16.6778,"Calml4"
"CHOYP_AAEL_AAEL011979.1.1.m.59057",1,"3",6.74045,12.8605,12.95355,16.95975,13.7209,14.556,17.7216,"Calml4"
"CHOYP_AAEL_AAEL012012.1.1.m.11873",1,"3",0.1,0.1,3.37035,3.5436,3.57,5.65525,4.61095,"None"
"CHOYP_AAEL_AAEL012012.1.1.m.11873",1,"9",0.1,3.5332,3.81585,2.16615,3.67205,1.98185,3.46385,"None"
"CHOYP_AAEL_AAEL012950.1.1.m.1373",1,"9",20.68595,25.23325,22.73095,23.39415,17.49785,9.14065,17.88155,"ND-42 CG6343"
"CHOYP_AAEL_AAEL012950.1.1.m.1373",1,"3",20.68595,23.90425,22.68055,28.11985,22.61575,16.54975,14.63575,"ND-42 CG6343"
"CHOYP_AAEL_AAEL013229.1.2.m.30359",1,"3",23.7299,0.1,0.1,0.1,0.1,0.1,0.1,"alphaTub84D TubA84D CG2512"
"CHOYP_AAEL_AAEL013229.1.2.m.30359",1,"9",23.7299,0.1,0.1,0.1,0.1,0.1,0.1,"alphaTub84D TubA84D CG2512"
"CHOYP_AAEL_AAEL013229.2.2.m.57593",1,"3",0.1,0.1,0.1,0.1,0.1,0.1,0.1,"None"
"CHOYP_AAEL_AAEL013229.2.2.m.57593",1,"9",0.1,5.7261,0.1,0.1,0.1,0.1,16.6803,"None"
"CHOYP_AAEL_AAEL014931.1.1.m.24932",1,"3",0.66255,0.6432,3.56025,1.2532,3.7877,1.3394,3.2632,"Ect4 dsarm CG43119"
"CHOYP_AAEL_AAEL014931.1.1.m.24932",1,"9",0.66255,1.8761,2.6805,5.2094,1.3519,1.3909,3.0693,"Ect4 dsarm CG43119"
"CHOYP_AAEL_AAEL015271.1.1.m.56223",1,"9",2.8832,0.1,0.1,3.4604,0.1,0.1,0.1,"RAC2"
"CHOYP_AAEL_AAEL015271.1.1.m.56223",1,"3",2.8832,5.44605,0.1,0.1,0.1,3.17385,0.1,"RAC2"
"CHOYP_AAK1.1.1.m.14768",1,"9",0.46785,0.89565,0.51425,0.55295,0.1,0.1,0.4611,"AAK1 KIAA1048"
