"","fc3","fc5","fc7","fc9","fc11","fc13"
"CHOYP_BRAFLDRAFT_203026.1.1|m.61263",-18.3787479981983,-17.7182760061839,-18.9954220302526,-21.1828463693618,-18.8733939264453,-16.4601478713769
"CHOYP_FRIS.6.11|m.44036",-2.04274476230932,-5.53191560693348,-8.20962576899688,-4.13546269765871,-4.74325685097021,1.13830708980042
"CHOYP_FUMH.2.2|m.55401",-1.65315952144683,1.3294506895676,-3.29018115428253,-1.55909779073895,1.38054261047019,-5.43583539292857
"CHOYP_GALK2.1.2|m.5222",-6.51479142257377,-5.40745163221197,-6.46968751857936,-11.3838300866881,-8.37789264577225,-7.69013559114384
"CHOYP_GBLP.3.7|m.20931",-74.6927967348976,-84.2321475418074,-83.8217690346723,-73.2060031544835,-70.8998475805766,-69.3122039140346
"CHOYP_GEK.1.1|m.4939",-3.59154687923074,-3.09733007798152,-1.82582858547389,-1.85658832747682,-2.84985491917545,-1.80954040517893
"CHOYP_GIGA6.1.1|m.38687",-24.6896020098748,-18.5375249421144,-18.1962509614553,-21.238668940285,-16.6134799527567,-17.3863320048325
"CHOYP_GM2A.2.3|m.19346",-8.83576152251119,-10.8442397027911,-16.2859287095769,-19.2247613253303,-14.9325635155328,-12.5398877507683
"CHOYP_GNA1.1.1|m.39198",-7.57574909436456,-3.01928552314179,-2.3826186316197,-4.39723806123227,-11.1548151126739,-6.60013064248042
"CHOYP_GOLGA4.3.3|m.55461",-1.87952461023309,-2.38743943099199,-2.36115799319491,-1.8143139319883,-1.86410407847313,-4.42142556365039
"CHOYP_GOLP3.1.1|m.52389",-10.8515023317691,-9.0046091514185,-5.83503609210176,-12.029683547049,-9.8488332563919,-9.68260616081806
"CHOYP_GPDA.2.2|m.30755",-17.8737511245946,-17.4137924627959,-17.8905807481919,-16.6294521965044,-18.087746550101,-14.8872314266377
"CHOYP_GPN3.1.2|m.6649",-12.6831602055253,-12.5617276746553,-15.1939064579402,-9.90932712575702,-12.6616684897371,-9.95295871364211
"CHOYP_GPSM2.1.1|m.58302",-17.0030233862856,-21.380116018086,-16.483718537624,-14.1569482511494,-15.616548186699,-17.4335751539108
"CHOYP_GSLG1.3.3|m.66468",-4.50509804676695,-3.52159050450919,-1.81361898652874,-3.46098642695503,-3.21331682585734,-2.9237794504701
"CHOYP_BRAFLDRAFT_204501.1.1|m.910",-2.82865403867338,-2.56144722008299,-1.19347543267652,-2.90113892724296,-2.36352765809503,-1.73592749405565
"CHOYP_GUK1.1.1|m.48140",-6.12935498773271,-4.76624778338198,-4.46195442331137,-6.23457561884943,-5.46658812220874,-7.31255925720897
"CHOYP_HEX.1.1|m.43068",-11.7423799051588,-15.3860605817742,-14.2364901428043,-14.2939744568297,-12.3453222359369,-11.6738035537937
"CHOYP_BRAFLDRAFT_90405.1.1|m.44167",-1.93654832644823,-2.46706869249778,-2.94351335191313,-1.83055747662542,-1.48728064260676,-2.29611720182438
"CHOYP_HMCN1.23.44|m.42684",-52.7490849534573,-6.94933545767813,-6.92845397882422,-5.83441301236787,-5.01233831022946,-7.01892088795027
"CHOYP_HN1L.2.2|m.9837",-14.4096376256633,-11.4610170933353,-4.13895059280254,-17.407888898854,-12.9332343718026,-8.57457479127796
"CHOYP_LOC101157371.3.3|m.51109",-9.66897422933552,-15.0034584436004,-21.3393222207567,-25.167249853805,-19.6879210795444,-19.0487986696314
"CHOYP_HNRPR.1.2|m.44125",-21.474306901969,-21.2178791480087,-22.1166986622701,-27.8183270785296,-23.033117363234,-19.4552129900491
"CHOYP_HOW.5.5|m.58452",-3.81908433149929,-2.33249715584081,-3.57106213983517,-4.77851650809006,-7.76425413472044,-7.11417852350616
"CHOYP_HS12A.14.33|m.41988",-5.01682724563875,-6.45591923633648,-3.50428702457373,-7.74794878267928,-1.35463012349892,-3.75243790524772
"CHOYP_HS74L.1.1|m.24610",-17.8030347809718,-16.4247490329423,-16.0615712952646,-16.7828120370009,-15.7676875829808,-16.2913838965658
"CHOYP_HSP7D.2.3|m.34782",-30.2772585507636,-35.3338165501417,-41.7513381931048,-40.0182857172947,-32.9106209950572,-40.6904520100043
"CHOYP_GRP78.2.5|m.33058",-25.0675041248502,-28.3697981560493,-31.6512826767189,-23.8337658235278,-25.6382695504823,-30.588693031
"CHOYP_HSP90AA1.1.1|m.14867",-34.0468717344952,-37.5593120469403,-28.6889723671607,-37.6528681579986,-37.0450453313878,-34.5464163178614
"CHOYP_SC31A.1.2|m.8241",-20.7153282977078,-13.5076180540969,-19.8271696878851,-12.6270294446115,-15.4984768256268,-14.1327138082067
"CHOYP_SYYC.1.2|m.23460",-9.65314713755305,-7.65931483876269,-5.89603451377971,-8.49841737734766,-12.3223431348172,-10.0706167919211
"CHOYP_HSPA12A.21.27|m.57005",-1.79804601286329,-1.89816547706855,1.13452549456931,-1.41481660310841,-1.79553369251803,-2.31929364414939
"CHOYP_HUWE1.1.2|m.566",-3.33191382545714,-3.05940622796481,-2.19949351917713,-1.84919132756853,-2.77011274716166,-2.35713004016369
"CHOYP_BRAFLDRAFT_204736.2.2|m.63327",-16.7242266711656,-16.4959006799371,-19.3800772320516,-14.2316941726466,-12.6801984454484,-17.1396674753681
"CHOYP_HYI.1.1|m.10528",-2.96526276661586,-4.41599529320577,-3.07169676108019,-1.43566249766575,-3.21090726945347,-2.74154424820587
"CHOYP_HYOU1.2.3|m.12568",-8.67680412887559,-10.592452378208,-12.0764719977641,-9.19019911972214,-7.70255900153753,-9.69984920510671
"CHOYP_IARS.1.1|m.27559",-6.19019729004056,-6.8249560221137,-6.49534851625327,-6.92742294824538,-5.49745773170024,-5.15074155187088
"CHOYP_IDE.1.3|m.8450",-4.17422853696633,-5.00804229451775,-3.70746984401346,-3.95314250740516,-2.49333102905996,-2.82408615710859
"CHOYP_IMA2.1.2|m.35753",-4.73666065758431,-5.1733032281372,-3.53123941582277,-3.72270354464444,-7.27267420828311,-7.38876825144388
"CHOYP_INSI2.1.1|m.59456",-35.175508285179,-34.2078205018415,-39.7117095851633,-37.3593006843244,-38.4407495033271,-40.4416721913812
