"","ID","Cluster","D3","D5","D7","D9","D11","D13"
"108","3_CHOYP_ACO13.1.1.m.30659",1,3.316,0.1,3.4517,3.48465,0.1,9.0239
"109","3_CHOYP_ACON.1.1.m.61060",1,74.1717,71.3172,72.009,83.04035,76.28285,78.3861
"110","3_CHOYP_ACOX1.3.3.m.26948",3,0.851,0.1,1.7101,0.8881,1.80865,3.3017
"111","3_CHOYP_ACOX3.1.1.m.60111",3,1.5206,0.78275,3.9182,2.3727,1.74135,5.0779
"112","3_CHOYP_ACSA.1.1.m.61294",1,24.1149,28.08355,31.9631,30.5079,34.85425,32.2006
"113","3_CHOYP_ACSF2.2.4.m.30204",4,3.80345,0.1,0.1,0.1,0.1,0.1
"114","3_CHOYP_ACSF3.1.1.m.14825",4,0.94625,0.1,0.1,0.1,0.1,0.1
"115","3_CHOYP_ACSL1.1.1.m.685",1,30.4814,48.1044,48.872,55.0804,45.16655,34.4548
"116","3_CHOYP_ACSL1.1.1.m.686",1,23.30975,27.95505,23.5461,17.81705,22.67385,6.116
"117","3_CHOYP_ACSL4.1.1.m.24576",3,8.2669,1.51425,5.52715,3.18105,0.88925,5.18035
"118","3_CHOYP_ACSM3.1.1.m.23686",4,0.1,0.1,0.1,1.00375,1.0651,0.1
"119","3_CHOYP_ACSS3.1.1.m.64144",3,3.9263,5.5649,9.19045,5.93205,0.9263,4.32615
"120","3_CHOYP_ACT.13.27.m.39351",2,0.1,0.1,0.1,0.1,0.1,12.4652
"121","3_CHOYP_ACT.19.27.m.53936",1,67.0859,67.67925,61.8889,56.113,75.877,72.3301
"122","3_CHOYP_ACT.22.27.m.58204",2,0.1,0.1,0.1,0.1,0.1,12.68015
"123","3_CHOYP_ACT.23.27.m.58454",1,134.8912,110.9911,196.87485,99.3946,249.49095,264.21735
"124","3_CHOYP_ACT.4.27.m.14034",1,8.40495,4.21435,2.96065,5.97815,3.26405,3.9149
"125","3_CHOYP_ACT.5.27.m.15585",9,563.3507,0.1,0.1,0.1,0.1,0.1
"126","3_CHOYP_ACT.6.27.m.15622",10,0.1,0.1,334.28085,0.1,0.1,425.9015
"127","3_CHOYP_ACT1.3.7.m.25836",3,3.9764,5.30075,0.1,2.8259,0.1,0.1
"128","3_CHOYP_ACT1.4.7.m.29125",1,3.26035,3.3177,2.3538,5.64845,4.817,25.0068
"129","3_CHOYP_ACT3.1.3.m.23292",4,0.1,0.1,0.1,0.1,0.1,0.1
"130","3_CHOYP_ACT3.3.3.m.66907",1,174.55785,303.09585,180.14175,225.2547,275.60495,375.32195
"131","3_CHOYP_ACT3A.1.1.m.25941",4,2.27745,2.26975,0.1,0.1,0.1,0.1
"132","3_CHOYP_ACT3A.1.1.m.25943",1,60.1365,45.42865,63.8368,72.1798,72.37645,88.0521
"133","3_CHOYP_ACT5.3.3.m.41147",1,20.47925,0.1,20.317,25.32515,18.8812,19.9497
"134","3_CHOYP_ACTC.2.6.m.15315",3,5.42535,8.2431,1.4609,0.1,1.5662,1.92345
"135","3_CHOYP_ACTC.3.6.m.21571",1,8.9775,27.2624,36.38405,48.2794,40.47215,0.1
"136","3_CHOYP_ACTN.1.2.m.15252",1,121.5965,119.54305,109.97355,105.5317,131.8154,154.1719
"137","3_CHOYP_ACTN.2.2.m.63975",4,0.1,0.1,0.1,0.1,0.1,0.1
"138","3_CHOYP_ACTP1.1.1.m.30455",2,0.1,0.1,0.1,0.1,0.1,5.7682
"139","3_CHOYP_ACTZ.1.1.m.12877",1,22.59095,25.59865,23.981,28.69755,33.66815,31.13435
"140","3_CHOYP_ADA.1.1.m.5625",1,0.1,2.74275,5.76745,3.00405,7.7259,11.29435
"141","3_CHOYP_ADA17.1.3.m.798",3,4.84605,4.9565,0.1,10.1373,5.41825,6.683
"142","3_CHOYP_ADA17.3.3.m.54971",2,0.1,0.1,3.0882,3.22255,0.1,6.04255
"143","3_CHOYP_ADAL.1.1.m.57556",3,6.05725,3.0544,1.6252,0.1,5.12505,4.17865
"144","3_CHOYP_ADAMTS12.1.2.m.29930",4,5.42525,1.0208,0.4025,0.4059,0.1,0.1
"145","3_CHOYP_ADAMTS16.1.1.m.28149",1,31.5757,32.78055,23.27795,10.136,2.1651,0.1
"146","3_CHOYP_ADAMTS18.1.2.m.4932",1,6.14305,8.23305,9.77495,8.19835,7.53705,7.75715
"147","3_CHOYP_ADAR.2.3.m.45677",4,3.12505,0.1,0.1,0.1,0.1,0.1
"148","3_CHOYP_ADD.2.5.m.15081",1,54.35015,52.62515,26.1089,21.976,27.22665,0.1
"149","3_CHOYP_ADD.3.5.m.17639",1,0.1,0.1,28.22865,51.82455,54.7064,61.4296
"150","3_CHOYP_ADHX.1.1.m.60159",1,42.0891,53.4365,53.40435,72.2502,56.85125,56.14095
"151","3_CHOYP_AFG32.1.1.m.59372",3,1.9159,4.5319,4.75115,5.4784,6.50115,5.2866
"152","3_CHOYP_AFG32.1.1.m.59373",1,3.0662,12.14305,9.54615,9.6785,13.78295,20.8342
"153","3_CHOYP_AFUA_1G01020.33.50.m.43179",4,0.596,0.1,0.6407,0.1,0.1,0.80515
"154","3_CHOYP_AFUA_1G01020.7.50.m.19296",4,2.00005,0.1,0.1,0.1,0.1,0.1
"155","3_CHOYP_AFURIN2.1.1.m.59865",4,0.1,1.51625,1.06745,0.59675,1.17535,0.1
"156","3_CHOYP_AGAP_AGAP000232.1.1.m.1999",4,1.0268,0.1,0.1,0.1,0.1,0.1
"157","3_CHOYP_AGAP_AGAP000991.1.1.m.5123",4,0.1,1.2422,0.1,1.3081,0.1,0.1
"158","3_CHOYP_AGAP_AGAP002199.1.1.m.25337",3,2.1539,2.1771,3.0388,0.8025,0.1,0.1
"159","3_CHOYP_AGAP_AGAP002350.1.1.m.37286",1,3.46565,3.49075,5.54015,5.5152,7.8451,9.55125
"160","3_CHOYP_AGAP_AGAP002350.1.1.m.37287",1,14.37205,19.2219,22.76305,25.53445,37.99745,56.06175
"161","3_CHOYP_AGAP_AGAP002739.1.5.m.19925",1,11.97055,21.34385,24.9483,22.88765,22.943,23.2212
"162","3_CHOYP_AGAP_AGAP002739.3.5.m.47030",3,0.6589,1.5502,1.16645,1.88095,3.95395,1.81375
"163","3_CHOYP_AGAP_AGAP002739.4.5.m.55695",1,12.10425,6.5381,6.16545,6.9368,7.46965,7.2793
"164","3_CHOYP_AGAP_AGAP002739.5.5.m.60925",3,0.43425,0.7721,0.8118,0.81785,0.8676,0.79255
"165","3_CHOYP_AGAP_AGAP004136.1.3.m.24172",3,1.04345,2.62055,0.592,1.6605,0.1,0.7681
"166","3_CHOYP_AGAP_AGAP004136.3.3.m.44418",3,1.09035,2.7383,0.61635,1.7351,0.65865,0.8004
"167","3_CHOYP_AGAP_AGAP004136.3.3.m.44420",1,12.14005,20.41595,17.1276,21.49635,18.3053,16.70855
"168","3_CHOYP_AGAP_AGAP004179.1.1.m.33303",4,1.3115,0.1,0.1,0.1,0.1,0.1
"169","3_CHOYP_AGAP_AGAP004481.1.1.m.8676",1,7.54805,12.586,2.65315,15.8602,11.3441,3.50665
"170","3_CHOYP_AGAP_AGAP004499.1.1.m.13546",4,0.1,0.1,0.1,0.8977,0.92245,0.1
"171","3_CHOYP_AGAP_AGAP004861.2.2.m.54567",4,0.1,1.9345,0.1,0.1,0.1,0.1
"172","3_CHOYP_AGAP_AGAP004868.1.1.m.60336",1,44.167,48.99535,90.7939,43.9211,16.55065,13.5019
"173","3_CHOYP_AGAP_AGAP004885.1.1.m.29831",1,13.7558,17.2956,11.0088,11.08275,23.4893,0.1
"174","3_CHOYP_AGAP_AGAP005057.1.1.m.62428",1,0.1,6.6163,5.25035,3.5041,3.71735,11.31705
"175","3_CHOYP_AGAP_AGAP005942.1.3.m.3157",1,70.8243,94.29965,118.2706,134.9333,91.7685,83.6372
"176","3_CHOYP_AGAP_AGAP006478.1.1.m.44472",1,36.93195,26.24365,21.7113,17.66785,15.48905,28.2885
"177","3_CHOYP_AGAP_AGAP006590.1.1.m.42108",4,0.3366,0.33415,0.1,0.1,0.1,0.4435
"178","3_CHOYP_AGAP_AGAP006810.1.2.m.12514",4,0.1,2.9333,0.1,0.1,0.1,0.1
"179","3_CHOYP_AGAP_AGAP007120.1.1.m.57542",1,161.03695,183.99195,173.7837,164.47445,260.7856,169.71355
"180","3_CHOYP_AGAP_AGAP007340.1.2.m.2953",4,1.04695,0.1,0.1,1.13425,0.1,0.1
"181","3_CHOYP_AGAP_AGAP007368.1.1.m.8474",3,0.1,0.1,1.31015,0.1,0.1,1.7233
"182","3_CHOYP_AGAP_AGAP007681.1.1.m.36727",4,1.56575,0.1,0.1,0.1,0.1,0.1
"183","3_CHOYP_AGAP_AGAP008046.1.1.m.58394",1,26.8874,38.288,42.6123,35.85265,48.12325,37.00015
