"","Protein","X0","X3","X5","X7","X9","X11","X13","X15"
"129","3_CHOYP_BRAFLDRAFT_92084.1.1|m.10643",1,0,0,0.5,0,0,0,0
"130","3_CHOYP_CALM.31.50|m.48469",0,0.5,0,0,0,0,0,0
"131","3_CHOYP_COL6A6.1.2|m.39071",0,0,0,0.5,0,0,0,0
"132","3_CHOYP_FYNA.1.1|m.63901",0,0,0,0,0,0,0,0.5
"133","3_CHOYP_ISCW_ISCW007303.1.1|m.42263",0,0,0,0,0,0,0.5,0
"134","3_CHOYP_LOC100371830.5.6|m.55811",0,0,0.5,0,0,0,0,0
"135","3_CHOYP_LOC100373083.2.2|m.26841",0,0,0,0.5,0,0,0,0
"136","3_CHOYP_LOC100373178.1.1|m.61012",0,0,0,0,0.5,0,0,0
"137","3_CHOYP_LOC100375831.1.1|m.24502",0.5,0,0,0,0.5,0,0,0
"138","3_CHOYP_LOC100566968.1.1|m.15268",0,0,0,0,0,0,0.5,0
"139","3_CHOYP_LOC100631809.1.2|m.30895",0.5,0.5,0,0,0,0,0,0
"140","3_CHOYP_LOC101064384.1.1|m.19175",0,0,0,0,0.5,0,0,0
"141","3_CHOYP_LOC552662.1.1|m.15078",0,0,0,0,0,0.5,0,0
"142","3_CHOYP_LOC585638.1.1|m.10100",0,0.5,0,0,0,0,0,0
"143","3_CHOYP_MED7.1.1|m.48813",0,0.5,0,0,0,0,0,0
"144","3_CHOYP_MERL.1.1|m.1067",0.5,0,0,0,0,0,0.5,0
"145","3_CHOYP_PHUM_PHUM378040.1.1|m.15341",0,0.5,0,0,0,0,0,0
"146","3_CHOYP_TRPM3.1.7|m.9000",0.5,0,0,0,0,0.5,0,0
"147","3_CHOYP_AAEL_AAEL000057.1.1|m.36013",0,0,0,0,0.5,0,0,0
"148","3_CHOYP_AAEL_AAEL003853.1.2|m.39529",0,0,0,0,0,0.5,0,0
"149","3_CHOYP_BRAFLDRAFT_130685.1.1|m.63499",1.5,0.5,0,0,0,0,0,0
"150","3_CHOYP_BRAFLDRAFT_204357.1.1|m.62329",0.5,0.5,0,0,0,0,0,0
"151","3_CHOYP_BRAFLDRAFT_268308.1.1|m.17043",0,0,0,0,0,0,0,0.5
"152","3_CHOYP_CP3AO.1.1|m.63459",0,0,0.5,0,0,0,0,0
"153","3_CHOYP_LOC100176799.1.1|m.3132",0,0,0,0,0,0,0,0.5
"154","3_CHOYP_LOC100366797.1.3|m.20765",0,0,0,0.5,0,0,0,0
"155","3_CHOYP_LOC100367084.12.22|m.48659",0.5,0.5,0,0,0,0,0,0
"156","3_CHOYP_LOC100367266.1.1|m.10803",0,0,0,0,0.5,0,0,0
"157","3_CHOYP_LOC100465916.1.1|m.44328",0,0,0,0,0.5,0,0,0
"158","3_CHOYP_LOC583253.1.1|m.11773",0,0,0,0,0,0,0,0.5
"159","3_CHOYP_LOC587136.1.3|m.7607",0,0,0.5,0,0,0,0,0
"160","3_CHOYP_LRP6.1.6|m.878",0,0,0,0,0,0.5,0,0
"161","3_CHOYP_LSAMP.1.1|m.36104",0,0,0,0,0,0.5,0,0
"162","3_CHOYP_NEO1.3.3|m.61836",0,0,0,0,0,0,0.5,0
