"Cluster","Silo","ID","D0","D3","D5","D7","D9","D11","D13"
17,"3","CHOYP_APPBP2.1.1.m.9093",6.94485,4.01285,0.7148,0.74485,0.75155,0.7967,0.9706
2,"3","CHOYP_ARB_02478.1.1.m.29725",0.1,0.1,3.90255,12.2705,15.484,9.852,6.67525
2,"3","CHOYP_ARF6.1.2.m.3974",6.29455,12.11445,6.10875,9.57325,6.4707,10.3433,4.22405
9,"3","CHOYP_ARH.2.2.m.25884",1.89795,0.1,1.87145,0.1,0.1,0.1,0.1
11,"3","CHOYP_ARHG7.3.5.m.37182",0.1,0.1,1.42085,0.1,0.1,2.42315,0.99915
17,"3","CHOYP_ARHGAP8.1.1.m.25503",4.5091,5.4266,6.61305,3.46825,3.58045,2.45555,0.1
19,"3","CHOYP_ARHGEF3.1.1.m.13898",0.94855,0.1,0.1,0.1,0.1,0.1,1.2387
23,"3","CHOYP_ARI2.1.1.m.34963",0.1,0.1,3.0296,2.1329,2.14875,1.1743,0.1
13,"3","CHOYP_ARI4B.1.1.m.56056",0.7231,0.69675,0.3963,0.1,0.1,0.1,0.1
6,"3","CHOYP_ARID3A.1.1.m.55743",0.1,0.1,1.10545,2.1907,0.1,1.2366,0.1
10,"3","CHOYP_ARIP4.3.3.m.33366",0.1,0.1,0.1,0.1,0.1,0.41905,0.1
32,"3","CHOYP_ARL6IP1.1.1.m.13877",0.1,0.1,2.6938,0.1,2.7677,5.8648,0.1
2,"3","CHOYP_ARMC6.1.1.m.28786",4.6983,3.39655,6.84805,8.42295,8.44235,2.56505,0.1
11,"3","CHOYP_ARMC9.1.1.m.57265",0.70175,0.1,0.1,0.7008,0.1,1.44875,1.7264
7,"3","CHOYP_ARNT.1.1.m.19078",1.5986,0.8221,1.55145,1.6312,0.85785,0.90985,0.1
16,"3","CHOYP_ARP6.1.1.m.17920",1.44175,1.39095,0.1,1.50075,0.1,0.1,0.1
7,"3","CHOYP_ARP8.1.1.m.10729",0.1,0.1,1.8333,0.1,0.9909,0.1,0.1
8,"3","CHOYP_ARRB.1.2.m.25932",17.10115,22.82545,26.86495,18.79555,21.5951,20.1269,29.70315
10,"3","CHOYP_ARRD3.2.2.m.64983",0.1,0.1,0.1,0.1,0.1,1.657,0.1
2,"3","CHOYP_ASB3.1.1.m.51103",0.1,0.1,2.97805,6.0775,9.1327,6.4954,11.85765
13,"3","CHOYP_ASCC1.1.1.m.39863",0.1,0.1,0.1,0.1,0.1,0.1,0.1
20,"3","CHOYP_ASGR2.3.4.m.47793",0.1,0.1,0.1,0.1,3.4637,0.1,0.1
7,"3","CHOYP_ASK1.1.2.m.586",0.1,0.4597,0.467,1.373,0.872,0.1,0.1
17,"3","CHOYP_ASM.1.1.m.21521",3.56345,1.7732,2.681,1.9049,2.7354,1.00955,1.233
7,"3","CHOYP_ASMTL.1.1.m.20115",0.1,0.1,1.3751,0.1,1.41215,0.1,0.1
13,"3","CHOYP_ASPM.1.4.m.6650",0.1,0.1,0.1,0.1,0.1,0.1,0.1
13,"3","CHOYP_AT10A.1.1.m.56662",0.1,0.1,0.1,0.1,0.1,0.1,0.1
17,"3","CHOYP_ATC1.1.1.m.5161",5.077,4.25205,3.52205,0.1,5.91225,0.82995,3.89625
14,"3","CHOYP_ATE1.1.3.m.6901",12.5384,7.23885,4.8649,5.26215,0.1,0.1,0.1
17,"3","CHOYP_ATG7.1.1.m.34175",0.1,1.47635,1.4871,1.5635,2.34945,0.1,3.0505
7,"3","CHOYP_ATP2B3.1.1.m.6573",1.82135,0.87855,0.48665,0.9627,0.52655,0.9944,1.21065
19,"3","CHOYP_ATP7A.1.1.m.23099",0.1,0.1,0.7339,0.1,0.1,0.1,0.55145
29,"3","CHOYP_ATRP.1.1.m.22451",0.1,4.9142,4.87295,5.0907,0.1,0.1,0.1
7,"3","CHOYP_ATRX.1.1.m.14705",0.1,0.31265,0.1,0.1,0.33565,0.596,0.1
7,"3","CHOYP_ATS10.1.1.m.43473",0.1,0.1,0.98005,1.03045,1.03815,0.1,0.1
16,"3","CHOYP_ATS16.2.4.m.14579",0.1,2.19455,1.0726,0.4204,0.424,0.1,0.1
2,"3","CHOYP_ATS2.1.2.m.39791",0.1,1.85155,8.36785,8.3056,11.836,14.1528,8.29565
13,"3","CHOYP_ATS20.2.2.m.52571",0.1,0.1,0.1,0.429,0.1,0.1,0.1
10,"3","CHOYP_ATXN10.1.1.m.33209",0.1,0.1,0.1,0.1,0.1,1.2837,0.1
30,"3","CHOYP_AUHM.1.2.m.28847",0.1,0.1,0.1,0.1,21.0049,0.1,0.1
7,"3","CHOYP_B3GT2.1.1.m.35771",0.1,0.1,0.1,1.5486,1.61485,0.1,2.0399
10,"3","CHOYP_BACH1.3.17.m.6935",0.1,0.1,0.1,0.1,0.1,1.8445,0.1
13,"3","CHOYP_BACH1.8.17.m.18006",0.8473,1.5403,0.1,0.1,0.1,0.1,0.1
17,"3","CHOYP_BAG3.1.1.m.15160",3.45765,1.1568,4.4705,1.2474,1.25375,1.3229,0.1
13,"3","CHOYP_BAI1.1.2.m.4434",0.61205,1.0804,0.60125,0.1,0.63605,0.6697,0.7952
2,"3","CHOYP_BAP18.1.1.m.48944",3.22545,6.1346,6.179,9.8067,6.7051,0.1,0.1
