"Cluster","Silo","ID","D3","D5","D7","D9","D11","D13"
3,"3","CHOYP_BIRC6.1.2.m.51516",0.65605,0.44345,0.8172,0.7078,0.24755,0.2005
1,"3","CHOYP_BM1_00205.2.4.m.5170",1.8985,5.62415,5.8503,5.9647,0.1,2.6008
3,"3","CHOYP_BM8F.1.2.m.3009",0.1,0.1,5.2387,0.1,0.1,0.1
3,"3","CHOYP_BPHL.1.1.m.55822",8.34345,8.37755,3.5326,5.3084,3.8767,0.1
4,"3","CHOYP_BRAF.2.3.m.21192",1.52605,1.5135,0.1,0.8222,0.1,1.06555
4,"3","CHOYP_BRAFLDRAFT_104267.1.1.m.52332",0.1,1.41155,1.4362,0.1,3.0204,0.1
1,"3","CHOYP_BRAFLDRAFT_106560.13.14.m.62781",20.5765,5.9625,1.5775,0.1,1.6915,10.13235
2,"3","CHOYP_BRAFLDRAFT_107506.1.1.m.15759",0.1,0.1,0.1,0.1,0.1,10.21075
3,"3","CHOYP_BRAFLDRAFT_108792.2.5.m.31493",3.03565,0.1,2.23575,0.1,0.1,0.1
3,"3","CHOYP_BRAFLDRAFT_108792.4.5.m.45892",0.7024,0.7554,0.6908,0.79415,0.1543,0.90055
5,"3","CHOYP_BRAFLDRAFT_113696.1.1.m.54166",1.2852,0.1,1.3365,2.6423,0.1,1.75825
4,"3","CHOYP_BRAFLDRAFT_114204.1.1.m.15168",1.70845,0.1,0.1,1.79405,0.1,0.1
1,"3","CHOYP_BRAFLDRAFT_114350.1.1.m.14176",9.30895,6.2099,3.3985,9.87605,0.1,2.18555
3,"3","CHOYP_BRAFLDRAFT_114488.1.1.m.6260",0.6247,2.30965,1.2142,0.6719,0.69005,0.1
4,"3","CHOYP_BRAFLDRAFT_114866.4.5.m.35626",0.1,0.1,0.1,0.1,0.1,0.1
3,"3","CHOYP_BRAFLDRAFT_115029.1.2.m.8365",0.1,3.8585,8.10515,4.0989,12.61555,0.1
3,"3","CHOYP_BRAFLDRAFT_115611.1.1.m.33392",0.1,0.1,1.2886,1.25395,0.1,0.1
6,"3","CHOYP_BRAFLDRAFT_116053.1.1.m.63017",9.20195,0.1,2.44,0.1,0.1,0.1
4,"3","CHOYP_BRAFLDRAFT_117187.2.4.m.3553",0.1,0.1,0.1,0.1,0.1,0.1
3,"3","CHOYP_BRAFLDRAFT_117216.1.1.m.25201",6.0142,2.04445,0.1,2.1547,0.1,0.1
5,"3","CHOYP_BRAFLDRAFT_117365.1.2.m.12413",0.1,0.1,0.1,2.9358,0.1,1.9434
6,"3","CHOYP_BRAFLDRAFT_117365.2.2.m.31681",12.10265,0.1,0.1,0.1,0.1,1.90045
4,"3","CHOYP_BRAFLDRAFT_117675.1.1.m.33772",0.1,0.5979,0.1,0.6132,0.1,0.1
2,"3","CHOYP_BRAFLDRAFT_117811.1.1.m.27128",0.1,0.1,0.1,8.2229,0.1,16.0987
6,"3","CHOYP_BRAFLDRAFT_117858.3.3.m.61651",45.9083,8.7348,10.5155,5.2524,4.23355,3.4207
3,"3","CHOYP_BRAFLDRAFT_117875.1.1.m.48427",0.54185,0.54575,2.5658,3.998,1.8315,1.49325
4,"3","CHOYP_BRAFLDRAFT_118602.3.5.m.19626",0.1,0.1,0.1,0.1,5.61615,0.1
4,"3","CHOYP_BRAFLDRAFT_118793.1.1.m.20795",0.1,0.1,0.1,0.1,0.1,2.11635
3,"3","CHOYP_BRAFLDRAFT_118867.1.1.m.27944",0.9616,2.7736,1.0362,1.96725,2.09065,1.30795
